,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Istanbul,Istanbul,GPE,-0.03235439,0.36879553,en,102.80000000,4088772-8,745044,P,41.01384000,28.94966000,EUROPE-AFRICA,Turkey,MED
USA,USA,GPE,0.03297808,0.31673255,en,42.30000000,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Antalya,Antalya,GPE,-0.01697982,0.35828122,en,41.50000000,4079795-8,323777,P,36.90812000,30.69556000,EUROPE-AFRICA,Turkey,MED
Türkiye,Türkiye,GPE,0.02331722,0.54181336,en,39.90000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Aegean,Aegean,GPE,0.05841639,0.51236157,en,30.10000000,,10922486,L,38.96622000,28.72059000,EUROPE-AFRICA,Turkey,MED
Marmara,Marmara,GPE,0.05754759,0.50824480,en,25.10000000,4229347-9,10922497,L,40.62794000,27.68408000,EUROPE-AFRICA,Turkey,MED
Mediterranean,Mediterranean,LOC,0.02573605,0.46500256,en,21.70000000,,0,,,,,,
Ankara,Ankara,GPE,0.06986532,0.26910774,en,16.50000000,4002075-7,323786,P,39.91987000,32.85427000,EUROPE-AFRICA,Turkey,MED
Balıkesir,Balıkesir,GPE,-0.00766871,0.05368098,en,16.30000000,4299314-3,322165,P,39.64917000,27.88611000,EUROPE-AFRICA,Turkey,MED
Eastern Anatolia,Eastern Anatolia,LOC,-0.00954975,0.41259985,en,15.30000000,,10922505,L,39.42657000,41.23464000,ASIA,Turkey,WCA
Sındırgı,Sındırgı,GPE,0.00000000,0.06617647,en,13.60000000,,8632432,A,39.25061000,28.18647000,EUROPE-AFRICA,Turkey,MED
Bodrum,Bodrum,GPE,-0.03737745,0.23485644,en,13.60000000,4087873-9,320995,P,37.03833000,27.42917000,EUROPE-AFRICA,Turkey,MED
Eastern Black Sea,Eastern Black Sea,LOC,0.00208838,0.41009214,en,11.80000000,,732793,L,42.83333000,28.00000000,EUROPE-AFRICA,Bulgaria,MED
Southeastern Anatolia,Southeastern Anatolia,LOC,0.00929849,0.45593220,en,11.80000000,,10922506,L,38.10898000,41.32862000,ASIA,Turkey,WCA
Muğla,Muğla,GPE,0.02974138,0.47341954,en,11.60000000,4285769-7,304184,P,37.21807000,28.36650000,EUROPE-AFRICA,Turkey,MED
Japan,Japan,GPE,0.02564935,0.29902597,en,11.00000000,4028495-5,1861060,A,35.68536000,139.75309000,ASIA,Japan,EAS
Erzincan,Erzincan,GPE,-0.05375000,0.15666667,en,10.00000000,4488338-9,315373,P,39.73919000,39.49015000,EUROPE-AFRICA,Turkey,MED
Black Sea,Black Sea,LOC,-0.02180556,0.50444444,en,10.00000000,,10922499,L,41.25206000,36.96073000,EUROPE-AFRICA,Turkey,MED
US,US,GPE,0.05681818,0.50505051,en,9.90000000,,0,,,,,,
