,phrase,label,sentiment,subjectivity,language,count
Meteorology,Meteorology,ORG,0.10401493930905707,0.4469304388422038,en,47.59999999999995
the General Directorate of Meteorology,the General Directorate of Meteorology,ORG,0.14163788525168686,0.5847109979071244,en,41.29999999999996
AFAD,AFAD,ORG,0.08006705493818903,0.18360333824251368,en,38.79999999999997
AKOM,AKOM,ORG,0.01598837209302325,0.3409641472868216,en,17.200000000000003
The General Directorate of Meteorology,The General Directorate of Meteorology,ORG,0.02748452264581297,0.5082518735744541,en,15.500000000000005
Muğla,Muğla,ORG,0.04039888682745825,0.3531694495980209,en,15.400000000000004
MGM,MGM,ORG,0.0796540991308433,0.4120468248375224,en,12.900000000000002
CHP,CHP,ORG,0.07478354978354977,0.35122655122655116,en,10.500000000000002
AK Party,AK Party,ORG,-0.03380102040816326,0.05803571428571428,en,9.8
Education,Education,ORG,-0.030233739837398386,0.37118902439024387,en,8.200000000000001
General Directorate of Meteorology,General Directorate of Meteorology,ORG,0.037777777777777785,0.5255555555555554,en,7.500000000000001
the Disaster and Emergency Management,the Disaster and Emergency Management,ORG,-0.0018601190476190482,0.15773809523809523,en,6.4
The Ministry of Internal Affairs,The Ministry of Internal Affairs,ORG,-0.06981336805555555,0.24459635416666667,en,6.4
Galatasaray,Galatasaray,ORG,-0.01684881602914388,0.5102459016393442,en,6.1000000000000005
NATO,NATO,ORG,0.20121212121212118,0.24772727272727274,en,5.5
Kandilli Observatory,Kandilli Observatory,ORG,-0.003246753246753248,0.17835497835497835,en,5.5
Eastern,Eastern,ORG,0.007020202020202023,0.3114141414141414,en,5.5
Erdoğan,Erdoğan,ORG,0.04716981132075471,0.06289308176100628,en,5.300000000000001
EU,EU,ORG,0.13843537414965987,0.23469387755102036,en,4.9
Kandilli,Kandilli,ORG,0.4347826086956522,0.5869565217391305,en,4.6
Kanal D's,Kanal D's,ORG,0.23089591567852438,0.46047430830039526,en,4.6
Bursa,Bursa,ORG,-0.029761904761904767,0.30357142857142866,en,4.199999999999999
- Anadolu Agency,- Anadolu Agency,ORG,0.0,0.0,en,4.1
Trendyol Super League,Trendyol Super League,ORG,0.32894736842105265,0.7456140350877193,en,3.8
the Super League,the Super League,ORG,0.4412280701754387,0.6820175438596493,en,3.7999999999999994
the Ministry of Internal Affairs,the Ministry of Internal Affairs,ORG,0.0,0.0,en,3.6999999999999997
General Directorate of Meteorology MGM,General Directorate of Meteorology MGM,ORG,0.06756756756756759,0.4744744744744745,en,3.6999999999999997
Trump,Trump,ORG,0.05405405405405404,0.15202702702702703,en,3.6999999999999997
the European Union,the European Union,ORG,0.13828828828828832,0.22972972972972974,en,3.6999999999999997
Cold,Cold,ORG,-0.3783783783783784,0.7837837837837838,en,3.6999999999999997
Boğaziçi University Kandilli Observatory and Earthquake Research Institute,Boğaziçi University Kandilli Observatory and Earthquake Research Institute,ORG,-0.003217503217503219,0.27734877734877733,en,3.6999999999999997
Erzurum,Erzurum,ORG,0.006944444444444442,0.12152777777777778,en,3.6
Trabzonspor,Trabzonspor,ORG,0.29174603174603175,0.6015873015873014,en,3.5
Mersin,Mersin,ORG,-0.10267857142857142,0.15625,en,2.8
Manisa,Manisa,ORG,-0.058035714285714295,0.5133928571428572,en,2.8
MHP,MHP,ORG,0.0,0.0,en,2.8
Mersin's Mut,Mersin's Mut,ORG,-0.1607142857142857,0.3125,en,2.8
BioShock,BioShock,ORG,0.19182900432900435,0.42018398268398277,en,2.8
NASA,NASA,ORG,0.13184523809523813,0.20833333333333337,en,2.8
Pentagon,Pentagon,ORG,-0.035714285714285705,0.11904761904761905,en,2.8
Istanbul Metropolitan Municipality Disaster Coordination Center,Istanbul Metropolitan Municipality Disaster Coordination Center,ORG,-0.1130952380952381,0.29464285714285715,en,2.8
PKK,PKK,ORG,-0.10714285714285716,0.5357142857142857,en,2.8
